1751,0.00
1752,0.00
1753,0.00
1754,0.00
1755,0.00
1756,0.00
1757,0.00
1758,0.00
1759,0.00
1760,0.00
1761,0.00
1762,0.00
1763,0.00
1764,0.00
1765,0.00
1766,0.00
1767,0.00
1768,0.00
1769,0.00
1770,0.00
1771,0.00
1772,0.00
1773,0.00
1774,0.00
1775,0.00
1776,0.00
1777,0.00
1778,0.00
1779,0.00
1780,0.00
1781,0.01
1782,0.01
1783,0.01
1784,0.01
1785,0.01
1786,0.01
1787,0.01
1788,0.01
1789,0.01
1790,0.01
1791,0.01
1792,0.01
1793,0.01
1794,0.01
1795,0.01
1796,0.01
1797,0.01
1798,0.01
1799,0.01
1800,0.01
1801,0.01
1802,0.01
1803,0.01
1804,0.01
1805,0.01
1806,0.01
1807,0.01
1808,0.01
1809,0.01
1810,0.01
1811,0.01
1812,0.01
1813,0.01
1814,0.01
1815,0.01
1816,0.01
1817,0.01
1818,0.01
1819,0.01
1820,0.01
1821,0.01
1822,0.02
1823,0.02
1824,0.02
1825,0.02
1826,0.02
1827,0.02
1828,0.02
1829,0.02
1830,0.02
1831,0.02
1832,0.02
1833,0.02
1834,0.02
1835,0.03
1836,0.03
1837,0.03
1838,0.03
1839,0.03
1840,0.03
1841,0.03
1842,0.04
1843,0.04
1844,0.04
1845,0.04
1846,0.04
1847,0.05
1848,0.05
1849,0.05
1850,0.05
1851,0.05
1852,0.06
1853,0.06
1854,0.07
1855,0.07
1856,0.08
1857,0.08
1858,0.08
1859,0.08
1860,0.09
1861,0.10
1862,0.10
1863,0.10
1864,0.11
1865,0.12
1866,0.12
1867,0.13
1868,0.14
1869,0.14
1870,0.15
1871,0.16
1872,0.17
1873,0.18
1874,0.17
1875,0.19
1876,0.19
1877,0.19
1878,0.20
1879,0.21
1880,0.24
1881,0.24
1882,0.26
1883,0.27
1884,0.28
1885,0.28
1886,0.28
1887,0.30
1888,0.33
1889,0.33
1890,0.36
1891,0.37
1892,0.37
1893,0.37
1894,0.38
1895,0.41
1896,0.42
1897,0.44
1898,0.47
1899,0.51
1900,0.53
1901,0.55
1902,0.57
1903,0.62
1904,0.62
1905,0.66
1906,0.71
1907,0.78
1908,0.75
1909,0.79
1910,0.82
1911,0.84
1912,0.88
1913,0.94
1914,0.85
1915,0.84
1916,0.90
1917,0.96
1918,0.94
1919,0.81
1920,0.93
1921,0.80
1922,0.85
1923,0.97
1924,0.96
1925,0.98
1926,0.98
1927,1.06
1928,1.07
1929,1.15
1930,1.05
1931,0.94
1932,0.85
1933,0.89
1934,0.97
1935,1.03
1936,1.13
1937,1.21
1938,1.14
1939,1.19
1940,1.30
1941,1.33
1942,1.34
1943,1.39
1944,1.38
1945,1.16
1946,1.24
1947,1.39
1948,1.47
1949,1.42
1950,1.63
1951,1.77
1952,1.80
1953,1.84
1954,1.87
1955,2.04
1956,2.18
1957,2.27
1958,2.33
1959,2.45
1960,2.57
1961,2.58
1962,2.69
1963,2.83
1964,3.00
1965,3.13
1966,3.29
1967,3.39
1968,3.57
1969,3.78
1970,4.05
1971,4.21
1972,4.38
1973,4.61
1974,4.62
1975,4.60
1976,4.86
1977,5.02
1978,5.07
1979,5.36
1980,5.30
1981,5.14
1982,5.09
1983,5.08
1984,5.26
1985,5.42
1986,5.58
1987,5.73
1988,5.94
1989,6.07
1990,6.06
1991,6.13
1992,6.07
1993,6.06
1994,6.17
1995,6.30
1996,6.44
1997,6.55
1998,6.57
1999,6.55
2000,6.72
2001,6.89
2002,6.99
2003,7.37
2004,7.73
2005,8.03
2006,8.32
2007,8.49
2008,8.77
2009,8.69
2010,9.12
2011,9.50
2012,9.67
2013,9.77
2014,9.85
2015,9.83
2016,9.88
